"age_start","age_end","cases","deaths"
0,"9",938,1
10,"19",1432,0
20,"29",6360,7
30,"39",9956,36
40,"49",17745,153
50,"59",26391,638
60,"69",21734,1957
70,"79",22934,5366
80,"89",21636,6711
90,"MAX",6842,1784
