age_start,age_end,cases,deaths
0,9,1123,1
10,19,1804,0
20,29,7737,7
30,39,11686,40
40,49,20519,178
50,59,29858,756
60,69,24040,2284
70,79,25717,6203
80,89,26706,8070
90,MAX,9813,2455
